squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
20796,0.17912037037037,0.385231481481482,0.433518518518519,0.00212962962962963,1,0,2015,17-Aug-2015,31-Aug-2015 23:59:00,21599,12190,8367,4
19769,0.190895061728395,0.328935185185185,0.477854938271605,0.00231481481481481,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6737,4293,4
11534,0.260138888888889,0.384490740740741,0.351712962962963,0.00365740740740741,0,0,2015,17-Aug-2015,31-Aug-2015 23:59:00,21599,13924,8384,4
21004,0.174795751633987,0.372058823529412,0.429452614379085,0.0236928104575163,0,0,2015,16-Aug-2015,01-Sep-2015 23:59:00,24479,13387,9688,4
21003,0.163888888888889,0.338888888888889,0.491049382716049,0.00617283950617284,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6516,4472,4
12003,0.172685185185185,0.344367283950617,0.446759259259259,0.0361882716049383,1,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6701,4932,4
21279,0.189409722222222,0.361545138888889,0.446701388888889,0.00234375,0,0,2015,16-Aug-2015,31-Aug-2015 23:59:00,23039,12694,8384,4
11256,0.172222222222222,0.279976851851852,0.469907407407407,0.0778935185185185,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,3907,3092,4
21393,0.114496527777778,0.321701388888889,0.559375,0.00442708333333333,0,0,2015,17-Aug-2015,24-Aug-2015 23:59:00,11519,5025,3757,4
21997,0.174900793650794,0.328869047619048,0.469047619047619,0.0271825396825397,0,0,2015,16/08/2015 00:00:00.000,22/08/2015 23:59:00.000,10079,5078,3589,4
21022,0.183912037037037,0.36400462962963,0.441435185185185,0.0106481481481481,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,4734,3237,4
20198,0.184799382716049,0.297993827160494,0.465200617283951,0.0520061728395062,0,0,2015,16-Aug-2015,24-Aug-2015 23:59:00,12959,6257,4536,4
20873,0.279282407407407,0.285300925925926,0.407060185185185,0.0283564814814815,1,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,4878,2710,4
12364,0.256597222222222,0.377662037037037,0.365393518518519,0.000347222222222222,0,0,2015,16/08/2015 00:00:00.000,21/08/2015 23:59:00.000,8639,5480,3266,4
12678,0.203395061728395,0.364506172839506,0.421296296296296,0.0108024691358025,0,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,7360,4864,4
19537,0.160416666666667,0.340885416666667,0.489670138888889,0.00902777777777778,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5775,4031,4
19740,0.169375,0.381319444444444,0.443125,0.00618055555555556,0,0,2015,03-Sep-2015,12-Sep-2015 23:59:00,14399,7930,5580,4
20495,0.174305555555556,0.35385101010101,0.469255050505051,0.00258838383838384,0,0,2015,03-Sep-2015,13-Sep-2015 23:59:00,15839,8366,5646,4
20729,0.155642361111111,0.34375,0.488541666666667,0.0120659722222222,0,0,2015,04-Sep-2015,11-Sep-2015 23:59:00,11519,5753,4099,4
12285,0.0743055555555556,0.293055555555556,0.598611111111111,0.0340277777777778,1,0,2015,04-Sep-2015,04-Sep-2015 23:59:00,1439,529,471,4
10654,0.169675925925926,0.341435185185185,0.476003086419753,0.0128858024691358,1,0,2015,03-Sep-2015,11-Sep-2015 23:59:00,12959,6624,4592,4
