"","squirrel_id","byear","bcert","litter_id","dates","datee","part","longevity"
"370",477,1989,"Y",519,"1989-04-26","1989-04-26",NA,0
"371",478,1989,"Y",519,"1989-04-26","1989-04-26",NA,0
"372",530,1989,"Y",483,"1989-04-27","1989-06-19",NA,53
"373",578,1989,"Y",496,"1989-04-29","1989-07-28",NA,90
"374",633,1989,"Y",496,"1989-04-29","1989-08-15",NA,108
"375",466,1989,"Y",511,"1989-04-29","1989-04-29",NA,0
"376",467,1989,"Y",511,"1989-04-29","1989-04-29",NA,0
"377",521,1989,"Y",567,"1989-04-29","1989-06-15",NA,47
"378",586,1989,"Y",511,"1989-04-29","1989-08-15",NA,108
"379",520,1989,"Y",567,"1989-04-29","1989-06-14",NA,46
"380",474,1989,"Y",499,"1989-04-30","1989-04-30",NA,0
"381",574,1989,"Y",499,"1989-04-30","1989-08-15",NA,107
"382",2098,1989,"Y",616,"1989-05-20","1994-05-15",NA,1821
"383",782,1990,"Y",618,"1990-04-20","1990-04-20",NA,0
"384",890,1990,"Y",618,"1990-04-20","1990-08-20",NA,122
"385",750,1990,"Y",746,"1990-04-20","1990-06-19",NA,60
"386",951,1990,"Y",746,"1990-04-20","1990-08-25",NA,127
"387",891,1990,"Y",618,"1990-04-20","1990-08-20",NA,122
"388",818,1990,"Y",746,"1990-04-20","1990-07-04",NA,75
"389",1277,1990,"Y",653,"1990-04-22","1992-05-07",NA,746
"390",752,1990,"Y",653,"1990-04-22","1990-04-22",NA,0
"391",751,1990,"Y",732,"1990-04-23","1990-06-27",NA,65
"392",846,1990,"Y",732,"1990-04-23","1990-07-29",NA,97
"393",873,1990,"Y",732,"1990-04-23","1990-08-09",NA,108
"394",753,1990,"Y",664,"1990-04-25","1990-04-25",NA,0
"395",930,1990,"Y",664,"1990-04-25","1990-08-23",NA,120
"396",743,1990,"Y",628,"1990-04-27","1990-04-27",NA,0
"397",744,1990,"Y",628,"1990-04-27","1990-04-27",NA,0
"398",745,1990,"Y",628,"1990-04-27","1990-04-27",NA,0
"399",841,1990,"Y",623,"1990-04-27","1990-07-11",NA,75
"400",999,1990,"Y",623,"1990-04-27","1990-09-02",NA,128
"401",836,1990,"Y",745,"1990-04-28","1990-07-11",NA,74
"402",1235,1990,"Y",745,"1990-04-28","1991-08-31",NA,490
"403",1076,1990,"Y",702,"1990-04-29","1991-07-16",NA,443
"404",787,1990,"Y",702,"1990-04-29","1990-04-29",NA,0
