isq,squirrelId,in_awake,in_asleep,out_awake,out_asleep,is_female,is_mast,year,start_dt,end_dt,durationInMinutes,inNestInMinutes,asleepInMinutes,meanSeason
237,12653,0.0667824074074074,0.794039351851852,0.0811053240740741,0.0580729166666667,0,0,2017,25-Feb-2017,20-Mar-2017 23:59:00,34499,29750,29449,2
238,20139,0.102452256944444,0.761371527777778,0.0883897569444444,0.0477864583333333,0,0,2017,16-Jan-2017,16-Feb-2017 23:59:00,46079,39805,37286,1
239,13401,0.0830853174603175,0.795138888888889,0.0828869047619048,0.0388888888888889,0,0,2017,16-Jan-2017,29-Jan-2017 23:59:00,20159,17705,16814,1
240,20986,0.0660218253968254,0.78640873015873,0.0777281746031746,0.0698412698412698,0,0,2017,16-Jan-2017,29-Jan-2017 23:59:00,20159,17185,17262,1
241,21389,0.0630704365079365,0.793551587301587,0.0934027777777778,0.0499751984126984,0,0,2017,15-Jan-2017,11-Feb-2017 23:59:00,40319,34539,34011,1
242,21823,0.0480406746031746,0.803100198412698,0.0765128968253968,0.0723462301587302,0,0,2017,15-Jan-2017,11-Feb-2017 23:59:00,40319,34318,35298,1
243,21239,0.0559294871794872,0.632745726495726,0.11173433048433,0.199590455840456,0,0,2017,15-Jan-2017,22-Feb-2017 23:59:00,56159,38676,46744,1
244,20077,0.0589080459770115,0.685775862068966,0.0831896551724138,0.172126436781609,0,0,2017,25-Jan-2017,22-Feb-2017 23:59:00,41759,31098,35826,2
246,11957,0.041,0.7265,0.0576666666666667,0.174833333333333,0,0,2017,25-Jan-2017,18-Feb-2017 23:59:00,35999,27630,32448,2
247,12018,0.0760372923434487,0.775361170535879,0.0838153342313076,0.0647862028893643,0,0,2017,16-Jan-2017,09-Mar-2017 14:05:00,75725,64473,63621,2
248,13179,0.0601053639846743,0.718726053639847,0.112811302681992,0.108357279693487,0,0,2017,25-Jan-2017,22-Feb-2017 23:59:00,41759,32524,34539,2
256,20904,0.0500801282051282,0.730742521367521,0.0604166666666667,0.158760683760684,0,0,2017,19-Dec-2016,13-Jan-2017 23:59:00,37439,29234,33303,3
257,19815,0.0715172558922559,0.695959595959596,0.1003367003367,0.132186447811448,0,0,2017,19-Dec-2016,22-Feb-2017 23:59:00,95039,72941,78707,2
258,21355,0.0593402777777778,0.8340625,0.0580902777777778,0.0485069444444444,0,0,2017,19-Dec-2016,07-Jan-2017 23:59:00,28799,25730,25418,4
259,20729,0.0774801587301587,0.813624338624339,0.0690145502645503,0.0398809523809524,0,0,2017,18-Dec-2016,07-Jan-2017 23:59:00,30239,26947,25810,4
260,21332,0.0713141025641026,0.795486111111111,0.0682692307692308,0.0649305555555556,0,0,2017,19-Dec-2016,13-Jan-2017 23:59:00,37439,32453,32214,3
261,20223,0.0764846743295019,0.776388888888889,0.0855603448275862,0.061566091954023,0,0,2017,19-Dec-2016,16-Jan-2017 23:59:00,41759,35616,34993,3
262,22068,0.0731534090909091,0.785700757575758,0.0875,0.0536458333333333,0,0,2017,19-Dec-2016,31-Jan-2017 23:59:00,63359,54417,53181,2
263,19890,0.0935763888888889,0.748003472222222,0.0836154513888889,0.0748046875,0,0,2017,31-Dec-2016,31-Jan-2017 23:59:00,46079,38780,37915,1
264,13487,0.0865509259259259,0.690300925925926,0.113564814814815,0.109583333333333,0,0,2017,02-Jan-2017,31-Jan-2017 23:59:00,43199,33560,34555,1
266,20712,0.106818181818182,0.763699494949495,0.0990530303030303,0.0304292929292929,0,0,2017,22-Dec-2016,01-Jan-2017 23:59:00,15839,13789,12579,1
268,20914,0.0367063492063492,0.511474867724868,0.11412037037037,0.337698412698413,0,0,2017,18-Dec-2016,07-Jan-2017 23:59:00,30239,16577,25679,4
